Periodo;Curriculo Entrada;Periodo de Ingresso;Idade Aproximada no Ingresso;Ingressantes;Evadidos;Taxa
P4;2017;20221;29;2;2;100,00
P4;2017;20221;30;1;0;0,00
P4;2017;20221;31;1;0;0,00
P4;2017;20221;36;1;0;0,00
P4;2017;20222;17;3;0;0,00
P4;2017;20222;18;36;3;8,33
P4;2017;20222;19;21;0;0,00
P4;2017;20222;20;7;0;0,00
P4;2017;20222;21;5;0;0,00
P4;2017;20222;22;4;0;0,00
P4;2017;20222;23;4;0;0,00
P4;2017;20222;25;2;0;0,00
P4;2017;20222;26;2;0;0,00
P4;2017;20222;32;1;0;0,00
P4;2017;20222;41;1;0;0,00
P4;2017;20222;47;1;0;0,00
