Curriculo Entrada;Periodo de Ingresso;Ingressantes;Evadidos;Taxa
1999;20111;79;19;24,05
1999;20112;87;32;36,78
1999;20121;88;30;34,09
1999;20122;86;21;24,42
1999;20131;81;23;28,40
1999;20132;93;42;45,16
1999;20141;83;28;33,73
1999;20142;75;32;42,67
2017;20181;93;11;11,83
2017;20182;88;17;19,32
2017;20191;95;13;13,68
2017;20192;102;8;7,84
2017;20201;99;12;12,12
2017;20202;87;6;6,90
2017;20211;90;11;12,22
2017;20212;90;18;20,00
