Curriculo Entrada;Periodo de Ingresso;Ingressantes;Evadidos;Taxa
1999;20111;79;13;16,46
1999;20112;87;25;28,74
1999;20121;88;24;27,27
1999;20122;86;16;18,60
1999;20131;81;13;16,05
1999;20132;93;34;36,56
1999;20141;83;21;25,30
1999;20142;75;26;34,67
1999;20151;94;22;23,40
1999;20152;88;17;19,32
2017;20181;93;8;8,60
2017;20182;88;10;11,36
2017;20191;95;11;11,58
2017;20192;102;7;6,86
2017;20201;99;12;12,12
2017;20202;87;5;5,75
2017;20211;90;8;8,89
2017;20212;90;16;17,78
2017;20221;87;10;11,49
