CENTRO;Cod Curso;MODALIDADE;TURNO;?REA DO CONHECIMENTO;FATOR;CAMPUS;Curso;Cod. EMEC;Situa?o EMEC;Situa?o EMEC2;Curr?ulo;CH;Tempo M?imo;VAGAS 1;VAGAS 2;INGRESSANTES;ATIVOS;GRADUADOS;RF+R3
21;21316210;1;2;HUMANAS E SOCIAIS;0.1;2;GEOGRAFIA (LICENCIATURA) - N;13407;Ativo;Ativo;2008;3060;5;40;0;38;164;13;14
31;31301200;0;2;HUMANAS E SOCIAIS;0.12;3;ADMINISTRACAO - N;118546;Ativo;Ativo;2011;3000;4.5;55;0;64;234;10;13
31;31340100;0;1;HUMANAS E SOCIAIS;0.12;3;SERVICO SOCIAL - M;1117877;Ativo;Ativo;2014;3000;4;50;0;48;165;26;27
31;31350100;0;1;HUMANAS E SOCIAIS;0.12;3;DIREITO - M;13433;Ativo;Ativo;1997;3570;5;60;0;59;276;55;55
31;31350200;0;2;HUMANAS E SOCIAIS;0.12;3;DIREITO - N;13433;Ativo;Ativo;1997;3570;5.5;60;0;66;327;3;3
31;31350300;0;3;HUMANAS E SOCIAIS;0.12;3;DIREITO - V;13433;Ativo;Ativo;1997;3570;5;60;0;52;284;54;54
31;31360200;0;2;HUMANAS E SOCIAIS;0.12;3;CIENCIAS CONTABEIS - N;79567;Ativo;Ativo;2009;3000;4.5;;55;11;200;21;21
41;41201110;1;1;BIOL?GICAS E DA SA?DE;0.1;4;CIENCIAS BIOLOGICAS (LICENCIATURA) - D;99802;Ativo;Ativo;2010;3060;4;45;0;44;154;6;7
41;41201210;1;2;HUMANAS E SOCIAIS;0.1;4;CIENCIAS BIOLOGICAS (LICENCIATURA) - N;99802;Ativo;Ativo;2010;3060;5;;45;4;158;11;19
41;41207100;0;1;BIOL?GICAS E DA SA?DE;65;4;ODONTOLOGIA - D;122676;Ativo;Ativo;2012;4050;5;45;45;37;374;26;28
41;41403100;0;1;AGR?RIAS;0.1325;4;ENGENHARIA FLORESTAL - D;13456;Ativo;Ativo;2009;3600;5;40;0;31;137;8;10
41;41410100;0;1;AGR?RIAS;65;4;MEDICINA VETERINARIA - D;13437;Ativo;Ativo;2002;4095;4;50;50;54;415;41;56
51;51105110;1;1;EXATAS E TECNOL?GICAS;0.1;5;FISICA (LICENCIATURA) - D;99810;Ativo;Ativo;2009;2925;4;30;0;20;55;5;7
51;51105210;1;2;EXATAS E TECNOL?GICAS;0.1;5;FISICA (LICENCIATURA) - N;99810;Ativo;Ativo;2009;2925;4.5;30;0;28;61;0;5
51;51107110;1;1;EXATAS E TECNOL?GICAS;0.1;5;MATEMATICA (LICENCIATURA) - D;99806;Ativo;Ativo;2008;3015;4;30;0;15;50;3;4
51;51107210;1;2;EXATAS E TECNOL?GICAS;0.1;5;MATEMATICA (LICENCIATURA) - N;99806;Ativo;Ativo;2008;3015;5;30;0;33;89;3;5
51;51109110;1;1;EXATAS E TECNOL?GICAS;0.1;5;QUIMICA (LICENCIATURA) - D;99808;Ativo;Ativo;2007;2880;4;30;0;35;101;6;10
51;51109210;1;2;EXATAS E TECNOL?GICAS;0.1;5;QUIMICA (LICENCIATURA) - N;99808;Ativo;Ativo;2007;2880;4.5;30;0;29;84;1;2
51;51201110;1;1;BIOL?GICAS E DA SA?DE;0.1;5;CIENCIAS BIOLOGICAS(LICENCIATURA) - D;99804;Ativo;Ativo;2008;3105;4;40;0;44;151;14;14
51;51201210;1;2;BIOL?GICAS E DA SA?DE;0.1;5;CIENCIAS BIOLOGICAS(LICENCIATURA) - N;99804;Ativo;Ativo;2008;3105;5;40;0;42;170;11;11
51;51203100;0;1;BIOL?GICAS E DA SA?DE;66;5;FARMACIA - D;107495;Ativo;Ativo;2009;4500;5;45;45;58;323;35;40
51;51204100;0;1;BIOL?GICAS E DA SA?DE;66;5;ENFERMAGEM - D;107492;Ativo;Ativo;2009;4050;5;30;30;32;317;35;36
51;51206100;0;1;BIOL?GICAS E DA SA?DE;66;5;NUTRICAO - D;118910;Ativo;Ativo;2011;3315;4;45;45;50;274;16;22
71;71131100;0;1;EXATAS E TECNOL?GICAS;0.1325;7;ENGENHARIA DE BIOSSISTEMAS - D;1106562;Ativo;Ativo;2011;3690;5;50;0;50;135;10;13
71;71132100;0;1;EXATAS E TECNOL?GICAS;0.1325;7;ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D;1106561;Ativo;Ativo;2011;3615;5;50;0;46;153;9;14
71;71133100;0;1;EXATAS E TECNOL?GICAS;0.1325;7;ENGENHARIA DE PRODUCAO - D;1106578;Ativo;Ativo;2011;3690;5;50;0;50;201;5;5
71;71305210;1;2;HUMANAS E SOCIAIS;0.1;7;CIENCIAS SOCIAIS(LICENCIATURA) - N;1106595;Ativo;Ativo;2012;2805;4;50;0;39;159;3;8
71;71315110;1;1;HUMANAS E SOCIAIS;0.1;7;INTERDISCIPLINAR EM EDUCACAO DO CAMPO (LICENCIATURA) - D;1106596;Ativo;Ativo;2012;3525;4;50;0;19;112;7;7
71;71318200;0;2;HUMANAS E SOCIAIS;82;7;CURSO SUP DE TECN EM GESTAO PUBLICA - N;11137705;Ativo;Ativo;2011;1800;3;50;0;44;136;9;12
71;71420100;0;1;EXATAS E TECNOL?GICAS;82;7;CURSO SUP DE TECN EM AGROECOLOGIA - D;1150096;Ativo;Ativo;2012;2610;3.5;50;0;20;138;8;12
91;91122100;0;1;EXATAS E TECNOL?GICAS;;;ENGENHARIA CIVIL - D;1280408;;;2014;3600;5;45;45;43;80;0;0
91;91125100;0;1;EXATAS E TECNOL?GICAS;0.1325;9;ENGENHARIA DE ALIMENTOS - D;112294;Ativo;Ativo;2009;3645;5;45;45;54;254;10;13
91;91130100;0;1;EXATAS E TECNOL?GICAS;0.1325;9;ENGENHARIA AMBIENTAL - D;112282;Ativo;Ativo;2009;3615;5;45;45;60;274;6;14
91;91402100;0;1;AGR?RIAS;0.1325;9;AGRONOMIA - D;99800;Ativo;Ativo;2008;3735;5;45;45;52;292;16;26
