CODE;MATRICULA;DISCIPLINA;CREDITO;HORAS;PERIODO;ID_CLASS;NOTA;SITUACAO;ESTADO
102210002;1411175;ORG.E ARQUITETURA DE COMPUTADORES I;4;60;2006.1;1;5.1;APROVADO;NORMAL
102210002;1411178;SISTEMAS DE INFORMA??O I;4;60;2006.1;1;7.1;APROVADO;NORMAL
102210002;1411182;LAB.DE ORG.E ARQUITETURA DE COMPUTADORES;4;60;2006.1;2;3.9;REPROVADO_POR_NOTA;NORMAL
102210002;1114114;METODOS ESTATISTICOS;4;60;2006.2;1;3.6;REPROVADO_POR_NOTA;NORMAL
102210002;1305033;SOCIOLOGIA INDUSTRIAL I;3;45;2006.2;4;7;APROVADO;NORMAL
102210002;1305218;METODOLOGIA CIENT?FICA;4;60;2006.2;1;5.2;APROVADO;NORMAL
102210002;1411177;ENGENHARIA DE SOFTWARE I;4;60;2006.2;1;5.6;APROVADO;NORMAL
102210002;1411182;LAB.DE ORG.E ARQUITETURA DE COMPUTADORES;4;60;2006.2;2;7.9;APROVADO;NORMAL
102210002;1411193;BANCO DE DADOS I;4;60;2006.2;1;5.6;APROVADO;NORMAL
102210002;1411195;SISTEMAS DE INFORMA??O II;4;60;2006.2;1;5.8;APROVADO;NORMAL
102210002;1411238;SEMIN?RIOS (EDUCA??O AMBIENTAL);0;0;2006.2;1;8.8;APROVADO;NORMAL
102210002;1114114;METODOS ESTATISTICOS;4;60;2007.1;1;5.4;APROVADO;NORMAL
102210002;1411183;LABORAT?RIO DE ENGENHARIA DE SOFTWARE;2;30;2007.1;1;6.4;APROVADO;NORMAL
102210002;1411187;AN?LISE E T?CNICA DE ALGORITMOS;4;60;2007.1;1;0;REPROVADO_POR_FALTA;NORMAL
102210002;1411190;REDES DE COMPUTADORES;4;60;2007.1;1;1.1;REPROVADO_POR_NOTA;NORMAL
102210002;1411192;SISTEMAS OPERACIONAIS;4;60;2007.1;1;0;REPROVADO_POR_FALTA;NORMAL
102210002;1411194;BANCO DE DADOS II;4;60;2007.1;1;6.2;APROVADO;NORMAL
102210002;1305220;INFORM?TICA E SOCIEDADE;2;30;2007.2;1;8.5;APROVADO;NORMAL
102210002;1411185;PROJETO EM COMPUTA??O I;4;60;2007.2;1;7.8;APROVADO;NORMAL
