CODIGO_CURSO;CODIGO_CURRICULAR;CODIGO_DISCIPLINA;NOME_DISCIPLINA;CREDITO_DISCIPLINA;HORAS_DISCIPLINA;TIPO;SEMESTRE_IDEAL
14102100;2017;1108030;F?SICA GERAL I;4;60;OPCIONAL;-1
14102100;2017;1108081;F?SICA GERAL II;4;60;OPCIONAL;-1
14102100;2017;1108100;F?SICA GERAL III;4;60;OPCIONAL;-1
14102100;2017;1108105;F?SICA GERAL IV;4;60;OPCIONAL;-1
14102100;2017;1109035;ALGEBRA VETORIAL E GEOMETRIA ANAL?TICA;4;60;OPCIONAL;-1
14102100;2017;1109049;?LGEBRA LINEAR I;4;60;OBRIGATORIO;3
14102100;2017;1109105;CALCULO DIFERENCIAL E INTEGRAL III;5;75;OPCIONAL;-1
14102100;2017;1109106;EQUACOES DIFERENCIAIS;4;60;OPCIONAL;-1
14102100;2017;1109126;C?LCULO DIFERENCIAL E INTEGRAL I;4;60;OBRIGATORIO;2
14102100;2017;1109128;C?LCULO DIFERENCIAL E INTEGRAL III;4;60;OPCIONAL;-1
14102100;2017;1109131;C?LCULO DIFERENCIAL E INTEGRAL II;4;60;OBRIGATORIO;3
14102100;2017;1114129;INTRODU??O ? PROBABILIDADE;4;60;OBRIGATORIO;4
14102100;2017;1114222;ESTAT?STICA APLICADA;4;60;OBRIGATORIO;5
14102100;2017;1301014;ADMINISTRA??O;4;60;OPCIONAL;-1
14102100;2017;1301123;ADMINISTRACAO E EMPREENDEDORISMO;4;60;OPCIONAL;-1
14102100;2017;1302123;COMPUTA??O E M?SICA;4;60;OPCIONAL;6
14102100;2017;1303021;ECONOMIA;4;60;OPCIONAL;-1
14102100;2017;1304013;BASQUETEBOL - MASC;2;30;OPCIONAL;-1
14102100;2017;1304015;INTRODU??O ? PSICOLOGIA;4;60;OPCIONAL;-1
14102100;2017;1304025;BASQUETEBOL - FEM;2;30;OPCIONAL;-1
14102100;2017;1304055;FUTSAL;2;30;OPCIONAL;-1
14102100;2017;1304062;PR?TICA DESPORTIVA;2;30;OPCIONAL;-1
14102100;2017;1304123;FUTSAL - FEM;2;30;OPCIONAL;-1
14102100;2017;1305033;SOCIOLOGIA INDUSTRIAL I;3;45;OPCIONAL;-1
14102100;2017;1305218;METODOLOGIA CIENT?FICA;4;60;OBRIGATORIO;6
14102100;2017;1305219;DIREITO E CIDADANIA;4;60;OPCIONAL;-1
14102100;2017;1305222;INTRODU??O ? FILOSOFIA;4;60;OPCIONAL;-1
14102100;2017;1307150;INGL?S;4;60;OPCIONAL;-1
14102100;2017;1307169;L?NGUA PORTUGUESA;4;60;OPCIONAL;-1
14102100;2017;1307332;LIBRAS;4;60;OPCIONAL;-1
14102100;2017;1411167;PROGRAMA??O I;4;60;OBRIGATORIO;1
14102100;2017;1411168;PROGRAMA??O II;4;60;OBRIGATORIO;2
14102100;2017;1411171;TEORIA DA COMPUTA??O;4;60;OBRIGATORIO;5
14102100;2017;1411174;INTRODU??O ? COMPUTA??O;4;60;OBRIGATORIO;1
14102100;2017;1411176;GER?NCIA DA INFORMA??O;4;60;OPCIONAL;-1
14102100;2017;1411180;LABORAT?RIO DE PROGRAMA??O I;4;60;OBRIGATORIO;1
14102100;2017;1411181;LABORAT?RIO DE PROGRAMA??O II;4;60;OBRIGATORIO;2
14102100;2017;1411182;LAB.DE ORG.E ARQUITETURA DE COMPUTADORES;4;60;OBRIGATORIO;4
