Periodo;Curriculo Entrada;Categoria;Frequencia;Percentual
1;1999;FEMININO;6;18,75
1;1999;MASCULINO;26;81,25
1;2017;FEMININO;2;13,33
1;2017;MASCULINO;13;86,67
2;1999;FEMININO;26;18,44
2;1999;MASCULINO;115;81,56
2;2017;FEMININO;11;18,03
2;2017;MASCULINO;50;81,97
3;1999;FEMININO;38;18,01
3;1999;MASCULINO;173;81,99
3;2017;FEMININO;15;17,24
3;2017;MASCULINO;72;82,76
4;1999;FEMININO;36;15,86
4;1999;MASCULINO;191;84,14
4;2017;FEMININO;19;19,79
4;2017;MASCULINO;77;80,21
