Currículo Entrada,Período de Ingresso,Ingressantes,Evadidos,Taxa
1999,2011.1,79,7,8.86
1999,2011.2,87,8,9.2
1999,2012.1,88,13,14.77
1999,2012.2,86,9,10.47
1999,2013.1,81,7,8.64
1999,2013.2,93,23,24.73
1999,2014.1,83,11,13.25
1999,2014.2,75,11,14.67
1999,2015.1,94,12,12.77
1999,2015.2,88,8,9.09
2017,2018.1,93,3,3.23
2017,2018.2,88,3,3.41
2017,2019.1,95,3,3.16
2017,2019.2,102,3,2.94
2017,2020.1,99,7,7.07
2017,2020.2,87,4,4.6
2017,2021.1,90,4,4.44
2017,2021.2,90,7,7.78
2017,2022.1,87,5,5.75
2017,2022.2,87,7,8.05
