Periodo;Curriculo Entrada;Periodo de Ingresso;Sexo;Ingressantes;Evadidos;Taxa
Periodo_1;1999;20111;FEMININO;14;1;7,14
Periodo_1;1999;20111;MASCULINO;65;3;4,62
Periodo_1;1999;20112;FEMININO;11;0;0,00
Periodo_1;1999;20112;MASCULINO;76;2;2,63
Periodo_1;1999;20121;FEMININO;12;1;8,33
Periodo_1;1999;20121;MASCULINO;76;2;2,63
Periodo_1;1999;20122;FEMININO;18;0;0,00
Periodo_1;1999;20122;MASCULINO;68;3;4,41
Periodo_1;1999;20131;FEMININO;13;0;0,00
Periodo_1;1999;20131;MASCULINO;68;1;1,47
Periodo_1;1999;20132;FEMININO;14;2;14,29
Periodo_1;1999;20132;MASCULINO;79;3;3,80
Periodo_1;1999;20141;FEMININO;13;0;0,00
Periodo_1;1999;20141;MASCULINO;70;2;2,86
Periodo_1;1999;20142;FEMININO;11;1;9,09
Periodo_1;1999;20142;MASCULINO;64;0;0,00
Periodo_1;1999;20151;FEMININO;13;0;0,00
Periodo_1;1999;20151;MASCULINO;81;6;7,41
Periodo_1;1999;20152;FEMININO;17;1;5,88
Periodo_1;1999;20152;MASCULINO;71;4;5,63
Periodo_1;2017;20181;FEMININO;11;0;0,00
Periodo_1;2017;20181;MASCULINO;82;0;0,00
Periodo_1;2017;20182;FEMININO;10;0;0,00
Periodo_1;2017;20182;MASCULINO;78;3;3,85
Periodo_1;2017;20191;FEMININO;13;1;7,69
Periodo_1;2017;20191;MASCULINO;82;4;4,88
Periodo_1;2017;20192;FEMININO;20;0;0,00
Periodo_1;2017;20192;MASCULINO;82;0;0,00
Periodo_1;2017;20201;FEMININO;16;0;0,00
Periodo_1;2017;20201;MASCULINO;83;1;1,20
Periodo_1;2017;20202;FEMININO;15;0;0,00
Periodo_1;2017;20202;MASCULINO;72;1;1,39
Periodo_1;2017;20211;FEMININO;18;0;0,00
Periodo_1;2017;20211;MASCULINO;72;2;2,78
Periodo_1;2017;20212;FEMININO;23;0;0,00
Periodo_1;2017;20212;MASCULINO;67;0;0,00
Periodo_1;2017;20221;FEMININO;24;0;0,00
Periodo_1;2017;20221;MASCULINO;63;0;0,00
Periodo_1;2017;20222;FEMININO;18;1;5,56
Periodo_1;2017;20222;MASCULINO;69;2;2,90
Periodo_2;1999;20111;FEMININO;14;2;14,29
Periodo_2;1999;20111;MASCULINO;65;5;7,69
Periodo_2;1999;20112;FEMININO;11;1;9,09
Periodo_2;1999;20112;MASCULINO;76;7;9,21
Periodo_2;1999;20121;FEMININO;12;1;8,33
Periodo_2;1999;20121;MASCULINO;76;12;15,79
Periodo_2;1999;20122;FEMININO;18;2;11,11
Periodo_2;1999;20122;MASCULINO;68;7;10,29
Periodo_2;1999;20131;FEMININO;13;1;7,69
Periodo_2;1999;20131;MASCULINO;68;6;8,82
Periodo_2;1999;20132;FEMININO;14;3;21,43
Periodo_2;1999;20132;MASCULINO;79;20;25,32
Periodo_2;1999;20141;FEMININO;13;2;15,38
Periodo_2;1999;20141;MASCULINO;70;9;12,86
Periodo_2;1999;20142;FEMININO;11;2;18,18
Periodo_2;1999;20142;MASCULINO;64;9;14,06
Periodo_2;1999;20151;FEMININO;13;4;30,77
Periodo_2;1999;20151;MASCULINO;81;8;9,88
Periodo_2;1999;20152;FEMININO;17;2;11,76
