Currículo Entrada,Período de Ingresso,Ingressantes,Evadidos,Taxa
1999,2011.1,79,6,7.59
1999,2011.2,87,7,8.05
1999,2012.1,88,6,6.82
1999,2012.2,86,5,5.81
1999,2013.1,81,10,12.35
1999,2013.2,93,8,8.6
1999,2014.1,83,7,8.43
1999,2014.2,75,6,8
1999,2015.1,94,4,4.26
1999,2015.2,88,10,11.36
2017,2018.1,93,3,3.23
2017,2018.2,88,7,7.95
2017,2019.1,95,2,2.11
2017,2019.2,102,1,0.98
2017,2020.1,99,0,0
2017,2020.2,87,1,1.15
2017,2021.1,90,3,3.33
2017,2021.2,90,2,2.22
2017,2022.1,87,3,3.45
2017,2022.2,87,3,3.45
