Curriculo Entrada;Periodo de Ingresso;Sexo;Ingressantes;Evadidos;Taxa
1999;20111;FEMININO;14;1;7,14
1999;20111;MASCULINO;65;3;4,62
1999;20112;FEMININO;11;0;0,00
1999;20112;MASCULINO;76;2;2,63
1999;20121;FEMININO;12;1;8,33
1999;20121;MASCULINO;76;2;2,63
1999;20122;FEMININO;18;0;0,00
1999;20122;MASCULINO;68;3;4,41
1999;20131;FEMININO;13;0;0,00
1999;20131;MASCULINO;68;1;1,47
1999;20132;FEMININO;14;2;14,29
1999;20132;MASCULINO;79;3;3,80
1999;20141;FEMININO;13;0;0,00
1999;20141;MASCULINO;70;2;2,86
1999;20142;FEMININO;11;1;9,09
1999;20142;MASCULINO;64;0;0,00
1999;20151;FEMININO;13;0;0,00
1999;20151;MASCULINO;81;6;7,41
1999;20152;FEMININO;17;1;5,88
1999;20152;MASCULINO;71;4;5,63
2017;20181;FEMININO;11;0;0,00
2017;20181;MASCULINO;82;0;0,00
2017;20182;FEMININO;10;0;0,00
2017;20182;MASCULINO;78;3;3,85
2017;20191;FEMININO;13;1;7,69
2017;20191;MASCULINO;82;4;4,88
2017;20192;FEMININO;20;0;0,00
2017;20192;MASCULINO;82;0;0,00
2017;20201;FEMININO;16;0;0,00
2017;20201;MASCULINO;83;1;1,20
2017;20202;FEMININO;15;0;0,00
2017;20202;MASCULINO;72;1;1,39
2017;20211;FEMININO;18;0;0,00
2017;20211;MASCULINO;72;2;2,78
2017;20212;FEMININO;23;0;0,00
2017;20212;MASCULINO;67;0;0,00
2017;20221;FEMININO;24;0;0,00
2017;20221;MASCULINO;63;0;0,00
2017;20222;FEMININO;18;1;5,56
2017;20222;MASCULINO;69;2;2,90
