Periodo;Curriculo Entrada;Periodo de Ingresso;Sexo;Ingressantes;Evadidos;Taxa
P1;1999;20111;FEMININO;14;1;7,14
P1;1999;20111;MASCULINO;65;3;4,62
P1;1999;20112;FEMININO;11;0;0,00
P1;1999;20112;MASCULINO;76;2;2,63
P1;1999;20121;FEMININO;12;1;8,33
P1;1999;20121;MASCULINO;76;2;2,63
P1;1999;20122;FEMININO;18;0;0,00
P1;1999;20122;MASCULINO;68;3;4,41
P1;1999;20131;FEMININO;13;0;0,00
P1;1999;20131;MASCULINO;68;1;1,47
P1;1999;20132;FEMININO;14;2;14,29
P1;1999;20132;MASCULINO;79;3;3,80
P1;1999;20141;FEMININO;13;0;0,00
P1;1999;20141;MASCULINO;70;2;2,86
P1;1999;20142;FEMININO;11;1;9,09
P1;1999;20142;MASCULINO;64;0;0,00
P1;1999;20151;FEMININO;13;0;0,00
P1;1999;20151;MASCULINO;81;6;7,41
P1;1999;20152;FEMININO;17;1;5,88
P1;1999;20152;MASCULINO;71;4;5,63
P1;2017;20181;FEMININO;11;0;0,00
P1;2017;20181;MASCULINO;82;0;0,00
P1;2017;20182;FEMININO;10;0;0,00
P1;2017;20182;MASCULINO;78;3;3,85
P1;2017;20191;FEMININO;13;1;7,69
P1;2017;20191;MASCULINO;82;4;4,88
P1;2017;20192;FEMININO;20;0;0,00
P1;2017;20192;MASCULINO;82;0;0,00
P1;2017;20201;FEMININO;16;0;0,00
P1;2017;20201;MASCULINO;83;1;1,20
P1;2017;20202;FEMININO;15;0;0,00
P1;2017;20202;MASCULINO;72;1;1,39
P1;2017;20211;FEMININO;18;0;0,00
P1;2017;20211;MASCULINO;72;2;2,78
P1;2017;20212;FEMININO;23;0;0,00
P1;2017;20212;MASCULINO;67;0;0,00
P1;2017;20221;FEMININO;24;0;0,00
P1;2017;20221;MASCULINO;63;0;0,00
P1;2017;20222;FEMININO;18;1;5,56
P1;2017;20222;MASCULINO;69;2;2,90
P2;1999;20111;FEMININO;14;2;14,29
P2;1999;20111;MASCULINO;65;5;7,69
P2;1999;20112;FEMININO;11;1;9,09
P2;1999;20112;MASCULINO;76;7;9,21
P2;1999;20121;FEMININO;12;1;8,33
P2;1999;20121;MASCULINO;76;12;15,79
P2;1999;20122;FEMININO;18;2;11,11
P2;1999;20122;MASCULINO;68;7;10,29
P2;1999;20131;FEMININO;13;1;7,69
P2;1999;20131;MASCULINO;68;6;8,82
P2;1999;20132;FEMININO;14;3;21,43
P2;1999;20132;MASCULINO;79;20;25,32
P2;1999;20141;FEMININO;13;2;15,38
P2;1999;20141;MASCULINO;70;9;12,86
P2;1999;20142;FEMININO;11;2;18,18
P2;1999;20142;MASCULINO;64;9;14,06
P2;1999;20151;FEMININO;13;4;30,77
P2;1999;20151;MASCULINO;81;8;9,88
P2;1999;20152;FEMININO;17;2;11,76
P2;1999;20152;MASCULINO;71;6;8,45
P2;2017;20181;FEMININO;11;2;18,18
P2;2017;20181;MASCULINO;82;1;1,22
P2;2017;20182;FEMININO;10;0;0,00
P2;2017;20182;MASCULINO;78;3;3,85
P2;2017;20191;FEMININO;13;0;0,00
P2;2017;20191;MASCULINO;82;3;3,66
P2;2017;20192;FEMININO;20;1;5,00
P2;2017;20192;MASCULINO;82;2;2,44
P2;2017;20201;FEMININO;16;0;0,00
P2;2017;20201;MASCULINO;83;7;8,43
P2;2017;20202;FEMININO;15;0;0,00
P2;2017;20202;MASCULINO;72;4;5,56
P2;2017;20211;FEMININO;18;1;5,56
P2;2017;20211;MASCULINO;72;3;4,17
P2;2017;20212;FEMININO;23;1;4,35
P2;2017;20212;MASCULINO;67;6;8,96
P2;2017;20221;FEMININO;24;2;8,33
P2;2017;20221;MASCULINO;63;3;4,76
P2;2017;20222;FEMININO;18;2;11,11
P2;2017;20222;MASCULINO;69;5;7,25
P3;1999;20111;FEMININO;14;0;0,00
P3;1999;20111;MASCULINO;65;2;3,08
P3;1999;20112;FEMININO;11;3;27,27
P3;1999;20112;MASCULINO;76;12;15,79
P3;1999;20121;FEMININO;12;0;0,00
P3;1999;20121;MASCULINO;76;8;10,53
P3;1999;20122;FEMININO;18;2;11,11
P3;1999;20122;MASCULINO;68;2;2,94
P3;1999;20131;FEMININO;13;0;0,00
P3;1999;20131;MASCULINO;68;5;7,35
P3;1999;20132;FEMININO;14;2;14,29
P3;1999;20132;MASCULINO;79;4;5,06
P3;1999;20141;FEMININO;13;2;15,38
P3;1999;20141;MASCULINO;70;6;8,57
P3;1999;20142;FEMININO;11;1;9,09
P3;1999;20142;MASCULINO;64;13;20,31
P3;1999;20151;FEMININO;13;1;7,69
P3;1999;20151;MASCULINO;81;3;3,70
P3;1999;20152;FEMININO;17;1;5,88
P3;1999;20152;MASCULINO;71;3;4,23
P3;2017;20181;FEMININO;11;1;9,09
P3;2017;20181;MASCULINO;82;4;4,88
P3;2017;20182;FEMININO;10;1;10,00
P3;2017;20182;MASCULINO;78;3;3,85
P3;2017;20191;FEMININO;13;0;0,00
P3;2017;20191;MASCULINO;82;3;3,66
P3;2017;20192;FEMININO;20;1;5,00
P3;2017;20192;MASCULINO;82;3;3,66
P3;2017;20201;FEMININO;16;1;6,25
P3;2017;20201;MASCULINO;83;3;3,61
P3;2017;20202;FEMININO;15;0;0,00
P3;2017;20202;MASCULINO;72;0;0,00
P3;2017;20211;FEMININO;18;0;0,00
P3;2017;20211;MASCULINO;72;2;2,78
P3;2017;20212;FEMININO;23;2;8,70
P3;2017;20212;MASCULINO;67;7;10,45
P3;2017;20221;FEMININO;24;1;4,17
P3;2017;20221;MASCULINO;63;4;6,35
P3;2017;20222;FEMININO;18;0;0,00
P3;2017;20222;MASCULINO;69;1;1,45
P4;1999;20111;FEMININO;14;0;0,00
P4;1999;20111;MASCULINO;65;6;9,23
P4;1999;20112;FEMININO;11;3;27,27
P4;1999;20112;MASCULINO;76;4;5,26
P4;1999;20121;FEMININO;12;0;0,00
P4;1999;20121;MASCULINO;76;6;7,89
P4;1999;20122;FEMININO;18;0;0,00
P4;1999;20122;MASCULINO;68;5;7,35
P4;1999;20131;FEMININO;13;2;15,38
P4;1999;20131;MASCULINO;68;8;11,76
P4;1999;20132;FEMININO;14;1;7,14
P4;1999;20132;MASCULINO;79;7;8,86
P4;1999;20141;FEMININO;13;1;7,69
P4;1999;20141;MASCULINO;70;6;8,57
P4;1999;20142;FEMININO;11;0;0,00
P4;1999;20142;MASCULINO;64;6;9,38
P4;1999;20151;FEMININO;13;0;0,00
P4;1999;20151;MASCULINO;81;4;4,94
P4;1999;20152;FEMININO;17;1;5,88
P4;1999;20152;MASCULINO;71;9;12,68
P4;2017;20181;FEMININO;11;0;0,00
P4;2017;20181;MASCULINO;82;3;3,66
P4;2017;20182;FEMININO;10;3;30,00
P4;2017;20182;MASCULINO;78;4;5,13
P4;2017;20191;FEMININO;13;0;0,00
P4;2017;20191;MASCULINO;82;2;2,44
P4;2017;20192;FEMININO;20;1;5,00
P4;2017;20192;MASCULINO;82;0;0,00
P4;2017;20201;FEMININO;16;0;0,00
P4;2017;20201;MASCULINO;83;0;0,00
P4;2017;20202;FEMININO;15;0;0,00
P4;2017;20202;MASCULINO;72;1;1,39
P4;2017;20211;FEMININO;18;2;11,11
P4;2017;20211;MASCULINO;72;1;1,39
P4;2017;20212;FEMININO;23;1;4,35
P4;2017;20212;MASCULINO;67;1;1,49
P4;2017;20221;FEMININO;24;0;0,00
P4;2017;20221;MASCULINO;63;3;4,76
P4;2017;20222;FEMININO;18;0;0,00
P4;2017;20222;MASCULINO;69;3;4,35
