Curriculo Entrada;Periodo de Ingresso;Tipo de Evasao;Ingressantes;Evadidos;Taxa
2017;20221;CANCELAMENTO DE MATRICULA;1;1;100,00
2017;20221;CANCELAMENTO P SOLICITACAO ALUNO;4;2;50,00
2017;20221;CANCELAMENTO POR ABANDONO;7;0;0,00
2017;20221;REGULAR;71;0;0,00
2017;20222;CANCELADO 3 REPROV MESMA DISCIPLINA;2;2;100,00
2017;20222;CANCELADO REPROVOU TODAS POR FALTAS;4;0;0,00
2017;20222;CANCELAMENTO DE MATRICULA;1;0;0,00
2017;20222;CANCELAMENTO P SOLICITACAO ALUNO;4;0;0,00
2017;20222;CANCELAMENTO POR ABANDONO;6;1;16,67
2017;20222;REGULAR;70;0;0,00
