Periodo;Curriculo Entrada;Periodo de Ingresso;Tipo de Evasao;Ingressantes;Evadidos;Taxa
P1;1999;20111;CANCELADO 3 REPROV MESMA DISCIPLINA;10;0;0,00
P1;1999;20111;CANCELADO REPROVOU TODAS POR FALTAS;9;0;0,00
P1;1999;20111;CANCELAMENTO DE MATRICULA;1;0;0,00
P1;1999;20111;CANCELAMENTO P SOLICITACAO ALUNO;7;4;57,14
P1;1999;20111;CANCELAMENTO POR ABANDONO;16;0;0,00
P1;1999;20111;GRADUADO;34;0;0,00
P1;1999;20111;REGULAR;2;0;0,00
P1;1999;20112;CANCELADO 3 REPROV MESMA DISCIPLINA;18;0;0,00
P1;1999;20112;CANCELADO NOVO INGRESSO OUTRO CURSO;1;0;0,00
P1;1999;20112;CANCELADO REPROVOU TODAS POR FALTAS;18;0;0,00
P1;1999;20112;CANCELAMENTO P SOLICITACAO ALUNO;10;2;20,00
P1;1999;20112;CANCELAMENTO POR ABANDONO;16;0;0,00
P1;1999;20112;GRADUADO;24;0;0,00
P1;1999;20121;CANCELADO 3 REPROV MESMA DISCIPLINA;14;0;0,00
P1;1999;20121;CANCELADO NOVO INGRESSO OUTRO CURSO;1;0;0,00
P1;1999;20121;CANCELADO REPROVOU TODAS POR FALTAS;15;0;0,00
P1;1999;20121;CANCELAMENTO P SOLICITACAO ALUNO;8;3;37,50
P1;1999;20121;CANCELAMENTO POR ABANDONO;20;0;0,00
P1;1999;20121;GRADUADO;30;0;0,00
P1;1999;20122;CANCELADO 3 REPROV MESMA DISCIPLINA;20;0;0,00
P1;1999;20122;CANCELADO NOVO INGRESSO OUTRO CURSO;1;0;0,00
P1;1999;20122;CANCELADO REPROVOU TODAS POR FALTAS;11;0;0,00
P1;1999;20122;CANCELAMENTO P SOLICITACAO ALUNO;5;3;60,00
P1;1999;20122;CANCELAMENTO POR ABANDONO;13;0;0,00
P1;1999;20122;GRADUADO;36;0;0,00
P1;1999;20131;CANCELADO 3 REPROV MESMA DISCIPLINA;23;0;0,00
P1;1999;20131;CANCELADO NOVO INGRESSO OUTRO CURSO;3;0;0,00
P1;1999;20131;CANCELADO REPROVOU TODAS POR FALTAS;6;0;0,00
P1;1999;20131;CANCELAMENTO P SOLICITACAO ALUNO;8;1;12,50
P1;1999;20131;CANCELAMENTO POR ABANDONO;13;0;0,00
P1;1999;20131;GRADUADO;28;0;0,00
P1;1999;20132;CANCELADO 3 REPROV MESMA DISCIPLINA;16;0;0,00
P1;1999;20132;CANCELADO NOVO INGRESSO OUTRO CURSO;2;0;0,00
P1;1999;20132;CANCELADO REPROVOU TODAS POR FALTAS;24;0;0,00
P1;1999;20132;CANCELAMENTO DE MATRICULA;1;0;0,00
P1;1999;20132;CANCELAMENTO P SOLICITACAO ALUNO;10;3;30,00
P1;1999;20132;CANCELAMENTO POR ABANDONO;17;2;11,76
P1;1999;20132;GRADUADO;23;0;0,00
P1;1999;20141;CANCELADO 3 REPROV MESMA DISCIPLINA;11;0;0,00
P1;1999;20141;CANCELADO NOVO INGRESSO OUTRO CURSO;2;0;0,00
P1;1999;20141;CANCELADO REPROVOU TODAS POR FALTAS;14;0;0,00
P1;1999;20141;CANCELAMENTO P SOLICITACAO ALUNO;9;2;22,22
P1;1999;20141;CANCELAMENTO POR ABANDONO;14;0;0,00
P1;1999;20141;GRADUADO;33;0;0,00
P1;1999;20142;CANCELADO 3 REPROV MESMA DISCIPLINA;14;0;0,00
P1;1999;20142;CANCELADO NOVO INGRESSO OUTRO CURSO;3;0;0,00
P1;1999;20142;CANCELADO REPROVOU TODAS POR FALTAS;11;0;0,00
P1;1999;20142;CANCELAMENTO P SOLICITACAO ALUNO;4;1;25,00
P1;1999;20142;CANCELAMENTO POR ABANDONO;15;0;0,00
P1;1999;20142;GRADUADO;28;0;0,00
P1;1999;20151;CANCELADO 3 REPROV MESMA DISCIPLINA;8;0;0,00
P1;1999;20151;CANCELADO NOVO INGRESSO OUTRO CURSO;3;0;0,00
P1;1999;20151;CANCELADO REPROVOU TODAS POR FALTAS;4;0;0,00
P1;1999;20151;CANCELAMENTO P SOLICITACAO ALUNO;8;6;75,00
P1;1999;20151;CANCELAMENTO POR ABANDONO;20;0;0,00
P1;1999;20151;GRADUADO;51;0;0,00
P1;1999;20152;CANCELADO 3 REPROV MESMA DISCIPLINA;14;0;0,00
P1;1999;20152;CANCELADO NOVO INGRESSO OUTRO CURSO;1;0;0,00
P1;1999;20152;CANCELADO REPROVOU TODAS POR FALTAS;7;0;0,00
P1;1999;20152;CANCELAMENTO P SOLICITACAO ALUNO;8;5;62,50
P1;1999;20152;CANCELAMENTO POR ABANDONO;13;0;0,00
P1;1999;20152;GRADUADO;45;0;0,00
P1;2017;20181;CANCELADO 3 REPROV MESMA DISCIPLINA;7;0;0,00
P1;2017;20181;CANCELADO NOVO INGRESSO OUTRO CURSO;1;0;0,00
